female,wjtest01,wjtest07,wjtest10,wmtest01,wmtest07,wmtest10,childs_language,daycare_home_age,daycare_home_duration,daycare_center_age,daycare_center_duration,headstart_age,headstart_duration,tpsprek_age,tpsprek_duration,prek_age,prek_duration,birth_city,birth_state,birth_country,respondent_birth_city,respondent_birth_state,respondent_birth_country,respondent_move,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144,q1,q2,q3,q4,lastyrpk,lastyrhs,contxt1,contxt2,contxt3,contxt4,contxt5,contxt6,contxt7,contxt8,contxt9,contxt10,contxt11,contxt12,contxt13,contxt14,contxt15,contxt16,contxt17,contxt18,contxt19,contxt20,contxt21,contxt22,contxt23,contxt24,hs3yralum,ID,race,cohort,fullday0506,fullday0607,tpslunch0506,tpslunch0607,caphslunch0506,caphslunch0607,age,cutoff,langsurvey,psurvey,relative,health,medvisit,dentvisit,insurance,daycare_home,daycare_center,headstart,tpsprek,prek,internet,books,marital,father,respondent_education,spouse_education,momeduc,school_0607,school_0506,school_0405,teach_0607,teach_0506,white,black,hispanic,racecat4,racecat5,racecat6,other,freelunch
0,8,7,17,,,,English,.75,4,99,99,99,99,99,99,99,99,Tulsa,OK,USA,Del City,OK,USA,99,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Agree,Strongly disagree,Agree,Agree,No,No,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,3587,White,Pre-K Entrant,,Full day,,Full price lunch,,,-103,0,English,Yes,Biological father,Excellent,Less than 6 months,Less than 6 months,Yes,Yes,No,No,No,No,Yes,Enough to fill 1 bookcase (26-100),Married,Yes,High school graduate,Some college,Some college,60,,,,,1,0,0,0,0,0,0,0
1,1,4,7,,,,English,99,99,99,99,99,99,99,99,99,99,No Response,No Response,No Response,No Response,No Response,No Response,99,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Agree,Disagree,Agree,Agree,No,No,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,2,4,0,0,1,1,0,0,No,5787,Black,Pre-K Entrant,,Half day,,Free lunch,,,-135,0,English,Yes,Biological mother,Excellent,6 months to a year,6 months to a year,No,No,No,No,No,No,No response,No Response,No response,No response,No response,No response,,39,,,,,0,1,0,0,0,0,0,1
0,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,Agree,Disagree,Agree,Agree,No,Yes,1,0,1,1,1,2,0,1,0,2,0,0,0,0,2,0,0,2,0,1,0,3,0,0,Yes,5272,White,Pre-K Entrant,,,,Free lunch,Free lunch,,-44,0,,No,,,,,,,,,,,,,,,,,,6,37,,,66,1,0,0,0,0,0,0,1
1,14,10,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,No,442,Black,K Entrant,Full day,Full day,Free lunch,Free lunch,,,271,1,,No,,,,,,,,,,,,,,,,,,23,23,,,235,0,1,0,0,0,0,0,1
0,2,5,5,,,,English,99,99,3,.75,99,99,99,99,99,99,Tulsa,OK,USA,Texarkana,TX,USA,99,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,Disagree,Agree,Disagree,Disagree,No,No,0,1,0,0,0,1,1,2,1,3,1,1,1,2,1,2,1,2,0,2,1,0,1,1,No,3570,White,Pre-K Entrant,,Full day,,Full price lunch,,,-154,0,English,Yes,Biological father,Excellent,Less than 6 months,Never,Yes,No response,Yes,No response,No response,No response,No,Enough to fill 1 shelf (11-25),Divorced,Yes,Some high school,No response,,60,,,,,1,0,0,0,0,0,0,0
1,1,3,4,,,,English,99,99,99,99,99,99,99,99,99,99,Tulsa,OK,USA,Tulsa,OK,USA,99,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Strongly agree,Disagree,Strongly agree,Strongly agree,No,No,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,4520,Black,Pre-K Entrant,,Full day,,Free lunch,,,-207,0,English,Yes,Grandmother,Excellent,Don't know,Don't know,Yes,No,No,No,No,No,No,Enough to fill 1 shelf (11-25),Never Married,No,Some college,No response,,18,,,,,0,1,0,0,0,0,0,1
0,3,4,6,,,,Spanish,99,99,99,99,99,99,99,99,99,99,Tulsa,OK,USA,No Response,No Response,Mexico,1992,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Disagree,Strongly agree,Disagree,Strongly disagree,No,No,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,2,1,1,0,1,0,1,0,0,No,6278,Hispanic,Pre-K Entrant,,Full day,,Free lunch,,,-45,0,Spanish,Yes,Biological mother,Very good,Less than 6 months,Less than 6 months,Yes,No response,No response,No response,No response,No response,No,Enough to fill 1 shelf (11-25),Married,Yes,High school graduate,8th grade or less,High school or GED,60,,,,,0,0,1,0,0,0,0,1
1,9,11,16,,,,English,99,99,99,99,99,99,4,1,99,99,Fort Carson,CO,USA,Tulsa,OK,USA,99,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Disagree,Disagree,Agree,Agree,Yes,No,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,No,1626,White,K Entrant,Full day,Full day,Free lunch,Free lunch,,,151,1,English,Yes,Biological mother,Excellent,6 months to a year,Less than 6 months,Yes,No,No,No,Yes,No response,Yes,Enough to fill 2 bookcases (101-200),Divorced,No,High school graduate,No response,High school or GED,60,60,,,348,1,0,0,0,0,0,0,1
1,2,5,9,,,,English,99,99,99,99,99,99,99,99,99,99,Tulsa,OK,USA,Bountiful,UT,USA,99,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Agree,Disagree,Agree,Agree,No,No,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,No,6290,White,Pre-K Entrant,,Full day,,Free lunch,,,-327,0,English,Yes,Biological mother,Excellent,Less than 6 months,Less than 6 months,Yes,No,No,No,No,No,No,Enough to fill 1 bookcase (26-100),Married,Yes,Some college,Some high school,Some college,60,,,,,1,0,0,0,0,0,0,1
1,2,6,11,,,,English,3,1,99,99,99,99,99,99,3,1,Tulsa,OK,USA,Wichita,KS,USA,99,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,Disagree,Agree,Agree,Disagree,No,No,1,0,1,1,0,0,0,2,1,2,1,1,0,1,2,0,2,2,0,2,2,1,0,1,No,3928,Black,Pre-K Entrant,,Full day,,Free lunch,,,-285,0,English,Yes,Biological mother,Fair,Less than 6 months,Less than 6 months,Yes,Yes,No,No,No,Yes,No,Enough to fill 1 shelf (11-25),Never Married,No,High school graduate,High school graduate,High school or GED,3,,,,,0,1,0,0,0,0,0,1
